5.10.240.0,5.10.255.255,4096,02/05/12,Azeronline Information Services
5.133.224.0,5.133.239.255,4096,05/07/12,AZERTELECOM
5.134.48.0,5.134.63.255,4096,09/07/12,SUPERONLAYN LTD
5.178.0.0,5.178.15.255,4096,03/08/12,Azeronline Information Services
5.191.0.0,5.191.255.255,65536,13/08/12,"Azercell Telecom Ltd" Azerbaijan-Turkey Joint Venture
5.197.0.0,5.197.255.255,65536,23/08/12,AG Telecom LTD.
5.250.192.0,5.250.223.255,8192,13/09/12,Azqtel, Limited
31.170.224.0,31.170.255.255,8192,31/03/11,Delta Telecom Ltd
31.171.0.0,31.171.127.255,32768,31/03/11,Delta Telecom Ltd
37.26.0.0,37.26.63.255,16384,27/12/11,Uninet
37.32.64.0,37.32.79.255,4096,02/01/12,Seabak LLC
37.61.0.0,37.61.127.255,32768,18/01/12,Baktelekom
37.72.128.0,37.72.143.255,4096,26/01/12,MEQA-TELEKOM LTD
37.114.128.0,37.114.191.255,16384,10/02/12,Azqtel, Limited
46.22.224.0,46.22.239.255,4096,30/11/10,Stellford LLC.
46.23.96.0,46.23.111.255,4096,07/12/10,Azeronline Information Services
46.32.160.0,46.32.191.255,8192,16/08/10,Eurosel LLC
46.228.176.0,46.228.191.255,4096,08/02/11,Ultel LLC
62.212.224.0,62.212.255.255,8192,15/05/03,Delta Telecom Ltd
62.217.128.0,62.217.159.255,8192,19/09/00,Azeronline Information Services
77.244.112.0,77.244.127.255,4096,28/03/07,Azerfon LLC
78.111.48.0,78.111.63.255,4096,05/09/07,SOL Ltd
80.69.48.0,80.69.63.255,4096,11/11/04,Aztelekom
81.17.80.0,81.17.95.255,4096,05/10/05,Baktelekom
81.21.80.0,81.21.95.255,4096,13/01/06,Ultel LLC
82.194.0.0,82.194.31.255,8192,16/10/03,AZEDUNET LLC
85.132.0.0,85.132.127.255,32768,25/11/04,Delta Telecom Ltd
89.147.192.0,89.147.255.255,16384,14/02/06,Az.StarNet LLC
89.219.48.0,89.219.63.255,4096,05/07/06,Ultel LLC
89.219.176.0,89.219.191.255,4096,05/07/06,Ultel LLC
91.135.240.0,91.135.255.255,4096,28/11/06,Aztelekom
91.191.192.0,91.191.207.255,4096,29/11/06,Stellford LLC.
91.242.0.0,91.242.31.255,8192,30/07/12,
92.39.80.0,92.39.95.255,4096,22/02/08,Sinam
93.88.80.0,93.88.95.255,4096,17/03/08,TransEuroCom LLC
93.184.224.0,93.184.239.255,4096,03/06/08,Ultel LLC
94.20.0.0,94.20.255.255,65536,07/07/08,Delta Telecom Ltd
95.86.128.0,95.86.191.255,16384,22/01/09,"SMART SISTEMZ TECHNOLOJI" MMM
109.127.0.0,109.127.63.255,16384,03/12/09,Alfanet LLC
109.237.112.0,109.237.127.255,4096,14/01/10,Stellford LLC.
109.239.16.0,109.239.31.255,4096,01/02/10,Uninet
131.117.128.0,131.117.143.255,4096,08/03/12,AZERTELECOM
134.19.208.0,134.19.223.255,4096,07/11/11,AZERTELECOM
149.126.112.0,149.126.127.255,4096,28/07/11,AZERTELECOM
149.255.144.0,149.255.159.255,4096,01/09/11,AG Telecom LTD.
158.181.32.0,158.181.47.255,4096,11/11/11,Aztelekom
178.76.0.0,178.76.63.255,16384,31/03/10,Baktelekom
178.237.64.0,178.237.79.255,4096,22/06/10,Pixel LLC
188.72.128.0,188.72.191.255,16384,09/07/09,ICC of Ministry of ICT of Azerbaijan
188.227.208.0,188.227.223.255,4096,19/09/11,SUPERONLAYN LTD
188.253.128.0,188.253.255.255,32768,10/02/11,Baktelekom
194.135.160.0,194.135.191.255,8192,06/02/95,Baktelekom
212.47.128.0,212.47.159.255,8192,02/06/98,AZERIN
213.154.0.0,213.154.31.255,8192,07/01/10,Baktelekom
213.172.64.0,213.172.95.255,8192,03/03/00,AzEuroTel J.V.
217.14.96.0,217.14.111.255,4096,31/08/00,IntraNS
217.25.16.0,217.25.31.255,4096,09/01/06,Uninet
217.64.16.0,217.64.31.255,4096,17/02/03,Baktelekom
217.168.176.0,217.168.191.255,4096,22/07/04,"Azercell Telecom Ltd" Azerbaijan-Turkey Joint Venture

