37.131.0.0,37.131.127.255,32768,21/02/12,VIVA Bahrain BSC Closed
46.23.16.0,46.23.31.255,4096,01/12/10,ViaCloud WLL
46.42.64.0,46.42.127.255,16384,04/08/10,VIVA Bahrain BSC Closed
46.184.128.0,46.184.255.255,32768,05/11/10,VIVA Bahrain BSC Closed
62.209.0.0,62.209.31.255,8192,01/02/08,MTC Vodafone Bahrain (B.S.C.)
77.69.128.0,77.69.255.255,32768,19/02/07,Batelco
77.92.160.0,77.92.191.255,8192,10/05/07,Kalaam Telecom Bahrain B.S.C.
78.110.64.0,78.110.79.255,4096,29/09/09,Kalaam Telecom Bahrain B.S.C.
80.88.240.0,80.88.255.255,4096,26/05/05,2Connect WLL
80.95.208.0,80.95.223.255,4096,11/08/05,Etisalcom Bahrain Company W.L.L.
80.241.144.0,80.241.159.255,4096,01/09/05,Northstar Technology Company W.L.L.
81.22.16.0,81.22.31.255,4096,18/01/06,Kalaam Telecom Bahrain B.S.C.
82.194.32.0,82.194.63.255,8192,17/10/03,Batelco
84.255.128.0,84.255.191.255,16384,13/12/04,Batelco
87.252.96.0,87.252.127.255,8192,21/09/05,ViaCloud WLL
88.201.0.0,88.201.127.255,32768,18/02/08,Batelco
89.148.0.0,89.148.63.255,16384,14/02/06,Batelco
94.76.0.0,94.76.63.255,16384,08/09/11,VIVA Bahrain BSC Closed
94.79.192.0,94.79.255.255,16384,05/09/08,MTC Vodafone Bahrain (B.S.C.)
95.84.64.0,95.84.127.255,16384,18/12/08,Mena Broadband Services WLL
109.63.0.0,109.63.127.255,32768,06/01/10,Mena Broadband Services WLL
109.161.128.0,109.161.255.255,32768,09/09/09,MTC Vodafone Bahrain (B.S.C.)
151.248.96.0,151.248.111.255,4096,17/08/12,MENA LEVANT W.L.L
178.132.32.0,178.132.47.255,4096,29/09/11,Mena Broadband Services WLL
178.237.48.0,178.237.63.255,4096,21/06/10,LIFE TELECOMMUNICATION B.S.C. Closed
188.116.192.0,188.116.255.255,16384,10/06/09,Mena Broadband Services WLL
188.137.128.0,188.137.255.255,32768,04/01/11,2Connect WLL
193.188.96.0,193.188.127.255,8192,15/04/96,Batelco
217.17.224.0,217.17.239.255,4096,18/09/00,Batelco
217.17.240.0,217.17.255.255,4096,10/09/01,Batelco

