41.67.192.0,41.67.255.255,16384,07/07/10,
41.92.128.0,41.92.255.255,32768,24/10/09,
41.202.192.0,41.202.223.255,8192,07/11/07,
41.204.64.0,41.204.95.255,8192,02/06/06,
41.205.0.0,41.205.31.255,8192,12/02/10,
41.205.64.0,41.205.95.255,8192,12/10/06,
41.211.96.0,41.211.127.255,8192,11/05/07,
41.217.128.0,41.217.159.255,8192,29/05/09,
41.244.0.0,41.244.255.255,65536,16/09/13,
154.70.96.0,154.70.127.255,8192,27/11/13,
154.72.128.0,154.72.191.255,16384,13/02/14,
154.126.128.0,154.126.159.255,8192,11/03/14,
154.126.160.0,154.126.191.255,8192,13/03/14,
195.24.192.0,195.24.223.255,8192,03/04/97,
197.159.0.0,197.159.31.255,8192,18/11/11,

