2.72.0.0,2.79.255.255,524288,03/06/10,Kcell JSC
2.132.0.0,2.135.255.255,262144,23/12/10,JSC Kazakhtelecom
5.34.0.0,5.34.127.255,32768,10/05/12,2DAY Telecom LLP
5.63.64.0,5.63.127.255,16384,12/06/12,JSC Kazakhtelecom
5.76.0.0,5.76.255.255,65536,12/06/12,JSC Kazakhtelecom
5.250.128.0,5.250.159.255,8192,13/09/12,JSC Kazakhtelecom
5.251.0.0,5.251.255.255,65536,13/09/12,JSC Kazakhtelecom
31.133.208.0,31.133.223.255,4096,13/05/11,
31.169.0.0,31.169.31.255,8192,28/03/11,JSC Kazakhtelecom
31.171.160.0,31.171.191.255,8192,31/03/11,KazInterCom LLC
31.223.192.0,31.223.207.255,4096,17/05/11,Intelsoft Kazakstan Ltd
37.99.0.0,37.99.127.255,32768,07/02/12,2DAY Telecom LLP
37.150.0.0,37.151.255.255,131072,06/03/12,JSC Kazakhtelecom
46.34.192.0,46.34.223.255,8192,28/09/10,2DAY Telecom LLP
46.36.128.0,46.36.159.255,8192,27/10/10,JSC AlmaTV
46.42.192.0,46.42.255.255,16384,06/08/10,2DAY Telecom LLP
62.84.32.0,62.84.63.255,8192,23/02/07,JSC AlmaTV
77.240.32.0,77.240.47.255,4096,08/01/07,JSC "Sky Silk"
77.245.96.0,77.245.111.255,4096,24/04/07,JSC "Kaztranscom"
78.109.144.0,78.109.159.255,4096,12/07/07,JSC Nursat
79.140.224.0,79.140.239.255,4096,12/10/07,AB GROUP LLC
79.142.48.0,79.142.63.255,4096,30/10/07,SMARTNET TOO
80.241.0.0,80.241.15.255,4096,12/10/01,KazNIC Organization
80.241.32.0,80.241.47.255,4096,15/10/01,2DAY Telecom LLP
80.242.208.0,80.242.223.255,4096,16/09/09,Modern telecommunication systems LLP
80.249.16.0,80.249.31.255,4096,28/09/06,Semser Provider Ltd
81.17.160.0,81.17.175.255,4096,18/11/08,Intelsoft Kazakstan Ltd
81.18.32.0,81.18.47.255,4096,10/02/10,Radiobaylanys LLP
81.88.144.0,81.88.159.255,4096,11/04/06,JSC AlmaTV
82.115.32.0,82.115.63.255,8192,07/01/04,JSC "Arna"
82.200.128.0,82.200.255.255,32768,18/09/03,JSC Kazakhtelecom
84.240.192.0,84.240.255.255,16384,07/06/04,JSC Kazakhtelecom
85.29.128.0,85.29.191.255,16384,18/05/05,2DAY Telecom LLP
87.76.32.0,87.76.63.255,8192,01/07/11,
87.243.16.0,87.243.31.255,4096,08/07/10,2DAY Telecom LLP
87.243.32.0,87.243.63.255,8192,08/07/10,2DAY Telecom LLP
87.247.0.0,87.247.63.255,16384,06/09/05,2DAY Telecom LLP
87.255.192.0,87.255.223.255,8192,14/11/05,ICON LTD
88.204.128.0,88.204.255.255,32768,01/12/05,JSC Kazakhtelecom
89.33.208.0,89.33.223.255,4096,29/11/05,2DAY Telecom LLP
89.40.48.0,89.40.63.255,4096,29/11/05,2DAY Telecom LLP
89.218.0.0,89.218.255.255,65536,18/05/07,JSC Kazakhtelecom
89.250.80.0,89.250.95.255,4096,09/08/06,KazRENA
91.135.192.0,91.135.207.255,4096,23/11/06,Radiobaylanys LLP
91.147.64.0,91.147.79.255,4096,27/10/06,LLC Briz and K
91.147.80.0,91.147.95.255,4096,27/10/06,JSC "Arna"
91.147.96.0,91.147.127.255,8192,27/10/06,JSC "Arna"
91.185.0.0,91.185.31.255,8192,19/10/06,JSC Transtelecom
92.46.0.0,92.47.255.255,131072,20/12/07,JSC Kazakhtelecom
92.55.160.0,92.55.191.255,8192,14/03/08,2DAY Telecom LLP
93.185.64.0,93.185.79.255,4096,06/06/08,JSC "Kaztranscom"
94.103.240.0,94.103.255.255,4096,19/09/08,Khazar-Info
95.56.0.0,95.59.255.255,262144,23/09/08,JSC Kazakhtelecom
95.141.128.0,95.141.143.255,4096,05/06/09,JSC "Kaztranscom"
109.201.32.0,109.201.63.255,8192,11/02/10,2DAY Telecom LLP
109.229.160.0,109.229.191.255,8192,29/11/10,
109.238.160.0,109.238.175.255,4096,26/01/10,Intelsoft Kazakstan Ltd
109.239.32.0,109.239.47.255,4096,02/02/10,JSC AlmaTV
145.255.160.0,145.255.191.255,8192,22/11/11,JSC Kazakhtelecom
147.30.0.0,147.30.255.255,65536,22/11/11,JSC Kazakhtelecom
149.3.192.0,149.3.255.255,16384,21/07/11,Kcell JSC
149.27.0.0,149.27.255.255,65536,21/07/11,Kcell JSC
151.237.144.0,151.237.159.255,4096,16/08/12,Aksoran LLP
164.0.0.0,164.0.255.255,65536,15/11/11,Kcell JSC
164.40.0.0,164.40.127.255,32768,15/11/11,Kcell JSC
176.98.192.0,176.98.255.255,16384,17/10/11,
176.108.64.0,176.108.95.255,8192,13/02/12,
176.222.128.0,176.222.191.255,16384,29/11/11,2DAY Telecom LLP
178.88.0.0,178.91.255.255,262144,26/11/09,JSC Kazakhtelecom
178.238.64.0,178.238.79.255,4096,13/07/10,"StarTel Company" Ltd
188.0.128.0,188.0.159.255,8192,24/05/11,JSC "Kaztranscom"
188.247.176.0,188.247.191.255,4096,19/01/11,2DAY Telecom LLP
188.247.192.0,188.247.223.255,8192,19/01/11,2DAY Telecom LLP
193.193.224.0,193.193.255.255,8192,19/06/96,"ASTEL" JSC
195.12.96.0,195.12.127.255,8192,05/08/97,National Information Technologies Joint-Stock Company
195.82.0.0,195.82.31.255,8192,13/08/96,JSC Nursat
212.13.128.0,212.13.191.255,16384,19/05/98,JSC Nursat
212.19.128.0,212.19.159.255,8192,25/05/98,JSC Kazakhtelecom
212.76.0.0,212.76.31.255,8192,28/09/98,2DAY Telecom LLP
212.116.224.0,212.116.255.255,8192,24/05/00,JSC "Arna"
212.154.128.0,212.154.255.255,32768,07/07/99,JSC Kazakhtelecom
213.141.160.0,213.141.191.255,8192,20/03/01,KATELCO
213.157.32.0,213.157.63.255,8192,28/11/00,"ASTEL" JSC
213.211.64.0,213.211.127.255,16384,20/12/00,JSC Nursat
217.11.64.0,217.11.79.255,4096,05/12/08,Aspan telecom
217.15.176.0,217.15.191.255,4096,24/12/02,Intelsoft Kazakstan Ltd
217.76.64.0,217.76.79.255,4096,07/10/03,JSC "ALTEL"
217.196.16.0,217.196.31.255,4096,07/10/04,JSC "Kaztranscom"

