5.21.0.0,5.21.255.255,65536,03/05/12,Omani Qatari Telecommunications Company SAOC
5.32.192.0,5.32.255.255,16384,10/05/12,OmanMobile Telecommunication company LLC
5.36.0.0,5.37.255.255,131072,10/05/12,OmanMobile Telecommunication company LLC
5.162.0.0,5.162.255.255,65536,27/07/12,Omani Qatari Telecommunications Company SAOC
37.28.0.0,37.28.127.255,32768,28/12/11,Omani Qatari Telecommunications Company SAOC
37.40.0.0,37.41.255.255,131072,03/01/12,OmanMobile Telecommunication company LLC
37.200.128.0,37.200.255.255,32768,22/03/12,Omani Qatari Telecommunications Company SAOC
46.40.192.0,46.40.255.255,16384,12/07/10,Omani Qatari Telecommunications Company SAOC
62.61.160.0,62.61.191.255,8192,21/01/02,General Telecommunication Organization
62.231.192.0,62.231.255.255,16384,06/03/03,General Telecommunication Organization
82.178.0.0,82.178.255.255,65536,05/09/03,General Telecommunication Organization
85.154.0.0,85.154.255.255,65536,01/11/04,General Telecommunication Organization
94.185.0.0,94.185.63.255,16384,13/09/11,Omani Qatari Telecommunications Company SAOC
134.0.128.0,134.0.255.255,32768,01/11/11,OmanMobile Telecommunication company LLC
145.255.64.0,145.255.127.255,16384,21/11/11,Omani Qatari Telecommunications Company SAOC
148.151.0.0,148.151.255.255,65536,01/09/93,
188.66.128.0,188.66.255.255,32768,04/01/11,Omani Qatari Telecommunications Company SAOC
188.135.0.0,188.135.127.255,32768,29/04/09,Omani Qatari Telecommunications Company SAOC
188.140.128.0,188.140.255.255,32768,29/05/09,OmanMobile Telecommunication company LLC
212.72.0.0,212.72.31.255,8192,24/09/98,General Telecommunication Organization
213.202.0.0,213.202.31.255,8192,07/09/11,OmanMobile Telecommunication company LLC

