41.60.0.0,41.60.255.255,65536,13/05/10,
41.63.0.0,41.63.63.255,16384,05/08/10,
41.72.96.0,41.72.127.255,8192,08/11/09,
41.75.240.0,41.75.255.255,4096,19/08/09,
41.215.176.0,41.215.191.255,4096,25/08/08,
41.216.0.0,41.216.31.255,8192,14/08/08,
41.216.64.0,41.216.95.255,8192,13/10/11,
155.0.0.0,155.0.255.255,65536,16/01/15,
165.56.0.0,165.63.255.255,524288,25/09/14,
196.46.192.0,196.46.223.255,8192,24/10/03,
197.158.128.0,197.158.191.255,16384,09/05/12,
197.212.0.0,197.213.255.255,131072,03/12/12,
197.220.0.0,197.220.31.255,8192,24/02/11,
197.220.192.0,197.220.255.255,16384,16/06/11,

